year,province_en,province_cn,assessment_status,actual_total_rate,actual_nonhydro_rate,total_weight_binding,nonhydro_weight_binding,total_gap,nonhydro_gap,met_total,met_nonhydro,wind_curtailment_pct,solar_curtailment_pct,gdp,gdp_per_capita,population_year_end,primary_industry,secondary_industry,tertiary_industry,retail_sales,secondary_industry_share,tertiary_industry_share,hydro_capacity,thermal_capacity,wind_capacity,solar_capacity,wind_generation,solar_generation,wind_util_hours,solar_util_hours,total_electricity_consumption,interprovincial_export,cross_province_outflow_gwh_cross_province_outflow,electricity_generation_gwh_hydro,electricity_generation_gwh_solar,electricity_generation_gwh_thermal,electricity_generation_gwh_total,electricity_generation_gwh_wind,grid_investment_million_yuan_grid,installed_capacity_mw_hydro,installed_capacity_mw_solar,installed_capacity_mw_thermal,installed_capacity_mw_total,installed_capacity_mw_wind,line_loss_rate_pct_grid_company,new_generation_capacity_mw_solar,new_generation_capacity_mw_thermal,new_generation_capacity_mw_total,new_generation_capacity_mw_wind,total_electricity_consumption_gwh_total,transformer_capacity_35kv_plus_mva_35kv_plus_total,transmission_line_length_35kv_plus_km_35kv_plus,utilization_hours_hydro,utilization_hours_solar,utilization_hours_thermal,utilization_hours_total,utilization_hours_wind,wind_utilization_rate,solar_utilization_rate,nonhydro_weight_expected,nonhydro_weight_incentive,total_weight_expected,total_weight_incentive,actual_total_qty,total_exceed,total_target_status,nonhydro_target_status,assessed,electricity_consumption_macro,energy_industry_investment,fa_investment_growth,fiscal_expenditure,fiscal_revenue,highway_mileage,industrial_value_added,infra_investment_growth,manufacturing_investment_growth,power_investment_growth,railway_mileage,rd_expenditure,resident_population,total_import_export,urban_population,urbanization_rate,total_generation_macro,state_power_invest_macro,hydro_generation_macro,thermal_generation_macro,coal_consumption_macro,power_steam_hotwater_invest_macro,electricity_consumption_macro2,energy_industry_invest_macro,delta_target_pp,distributed_solar_capacity_mw,line_loss_amount_gwh,line_loss_rate_pct_yb,power_sales_gwh,power_supply_gwh,cross_province_export_gwh,cross_province_export_growth,transmission_line_35kv_plus_circuit_km,transmission_line_35kv_plus_pole_km,transformer_35kv_plus_total_mva,transformer_35kv_plus_self_mva,transformer_35kv_plus_station_mva,new_capacity_total_mw,new_capacity_hydro_mw,new_capacity_thermal_mw,new_capacity_wind_mw,new_capacity_solar_mw,power_invest_total_million_yuan,power_invest_hydro_million_yuan,power_invest_thermal_million_yuan,power_invest_planned_completion_million_yuan,power_invest_cumulative_million_yuan,coal_consumption_rate_g_kwh,util_hours_wind_6000kw,util_hours_hydro_6000kw,util_hours_thermal_6000kw,so2_emission_10k_tons,green_coverage_pct,forest_coverage_pct,above_scale_industrial_profit,above_scale_industrial_revenue,above_scale_industrial_enterprise_num,above_scale_industrial_assets,fixed_asset_investment,real_estate_investment,manufacturing_investment,highway_mileage_macro,railway_mileage_macro,post_telecom_business_volume,total_import_export_macro,export_total,import_total,resident_population_macro,urban_population_macro,population_density,fiscal_revenue_macro,fiscal_expenditure_macro,energy_intensity,total_generation_macro2,thermal_generation_macro2,hydro_generation_macro2,coal_consumption_macro2,nonhydro_weight_binding_2025,delta_total_target,delta_nonhydro_target,wind_capacity_mw,solar_capacity_mw,wind_cap_growth_pct,solar_cap_growth_pct,wind_generation_twh,solar_generation_twh,total_generation_twh,re_share_of_generation,wind_utilization_hours,solar_utilization_hours,total_consumption_twh,consumption_growth_pct,cross_provincial_export_mwkwh,export_ratio_pct,gdp_growth_pct,electricity_intensity,per_capita_consumption,energy_fixed_invest_100myuan,industrial_value_added_100myuan,coal_consumption_10kton,so2_emission_ton,wastewater_emission_10kton,total_trade_1000usd,fiscal_revenue_100myuan,fiscal_expenditure_100myuan,foreign_investment_100myuan,urban_population_10k,highway_km,natural_gas_consumption,power_sector_invest_100myuan,power_invest_growth_pct,pollution_control_invest,pollution_control_invest_10kyuan,v4_assessment_status,v4_met_total,v4_met_nonhydro,v4_total_gap,v4_nonhydro_gap,v4_total_weight_binding,v4_secondary_industry_share,yb_cross_region_outflow_gwh,yb_heat_supply_capacity_mw,yb_heat_supply_gj,yb_new_transmission_line_110kv_km,yb_power_project_construction_scale_mw,yb_power_project_new_started_mw,yb_power_project_under_construction_mw,yb_transformer_capacity_110kv_mva,green_power_pct_cement,green_power_pct_data_center,green_power_pct_electrolytic_aluminum,green_power_pct_polysilicon,green_power_pct_steel,sample_scope,rps_total_weight_binding,rps_total_weight_expected,rps_nonhydro_weight_binding,rps_nonhydro_weight_expected,solar_cf_mean,solar_cf_cv,wind_cf_mean,wind_cf_cv,delta_target_i,yb_power_project_construction_scale_cap10kw,yb_power_project_new_started_cap10kw,yb_power_project_under_construction_cap10kw
2015,Guangxi,,pre_rps,57.7,1.0,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,21156.5,40927.0,152.57,559908.0,240607798.0,5529.33,8250.01,9487.0,5621.0,26.34,4.57,628.0,,216.7,945934.0,,,,,,,,,,,,,,,,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2016,Guangxi,,pre_rps,49.9,1.3,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,3148.2,9417.0,14.4,97073.0,18452886.0,1263.78,3586.09,770.0,1508.0,10.25,19.77,157.35,,483.0,98402.0,,,,,,,,900874.0,,,1122.0,634.0,158.0,631.0,177.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2017,Guangxi,广西,pre-rps,51.6,3.0,,,,,,,,,17790.7,36441.0,4907.0,2878.3,6138.3,8774.1,7038.0,0.3450285823492049,0.4931846414137724,1669.0,2217.0,150.0,78.0,25.0,4.0,2280.0,919.0,1445.0,1028606.0,1028606.0,614.0,4.0,575.0,1345.0,25.0,986820.0,1669.0,78.0,2217.0,4332.0,150.0,7.94,6.0,51.0,139.0,82.0,1445.0,2508.0,73827.0,3814.0,919.0,2655.0,3231.0,2280.0,,,,,,,744.0,,,,,1444.95,810.11,5.0,4908.55,1615.13,12.33,4680.1,,,,0.52,935996.0,4907.0,57878659.0,2482.0,0.5058080293458325,1401.11,178.0,629.34,617.35,6613.32,745.81,1444.95,810.11,4.0,,89.0,7.94,1028.0,1116.0,1028606.0,14.18,73827.0,69641.0,2508.0,625.0,1135.0,139.0,,51.0,82.0,6.0,582243.0,18657.0,14541.0,646071.0,4761601.0,150.45,2280.0,3814.0,2655.0,10.52,39.1,60.2,1610.95,23805.05,5723.0,17531.99,5.0,2683.48,,0.14,0.52,799.92,14140623.0,5581769.0,38199975.0,4907.0,2482.0,1950.0,1615.13,4908.55,-3.4,1401.11,617.35,629.34,6613.32,0.231,,,335.0,332.0,,,62.0,20.0,332.0,24.69879518072289,1850.7462686567164,602.4096385542168,5959.0,,1707489.0,2.865395200537003,,334.9502830130349,1214.3876095373955,234.0,1129.2,11058.0,14.81,,5039517.0,417.59,1372.78,107.0,430.0,3.46,,124.0,,974.3,85551.0,assessed,,,,,,0.3450285823492049,1028606.0,,,1207.0,730.0,292.0,725.0,416.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2018,Guangxi,广西,binding,46.0,4.2,51.0,4.0,,,0.0,0.0,0.0,0.0,19627.8,39837.0,4947.0,3021.1,6692.9,9913.9,7663.5,0.3409908395235329,0.5050948144978041,1677.0,2288.0,208.0,124.0,42.0,9.0,2294.0,1006.0,1703.0,1199615.0,1199615.0,609.0,9.0,796.0,1617.0,42.0,934024.0,1677.0,124.0,2288.0,4513.0,208.0,5.81,30.0,119.0,216.0,61.0,1703.0,2568.0,75733.0,3882.0,1006.0,3502.0,3735.0,2294.0,,,,4.4,,56.2,783.33,-5.0,未完成,完成,1.0,1703.04,,10.8,5310.74,1681.45,12.54,5101.9,9.8,22.5,-13.4,0.52,891031.0,4947.0,62302266.0,2564.0,0.5182939155043461,1752.02,,701.12,820.61,7339.78,,1703.04,,4.0,15.0,90.0,5.81,1455.0,1545.0,1199615.0,16.63,75733.0,70397.0,2568.0,625.0,1175.0,216.0,5.0,119.0,61.0,30.0,839525.0,2999.0,,898786.0,4812731.0,156.5,2294.0,3882.0,3502.0,10.06,39.9,60.2,1100.1,18707.9,6058.0,17158.8,10.8,3004.13,22.5,0.16,0.52,,15902261.0,7373875.0,43020098.0,4947.0,2564.0,2025.0,1681.45,5310.74,,1752.02,820.61,701.12,7339.78,0.231,,,357.0,527.0,38.66666666666667,58.974358974358964,63.0,38.0,527.0,19.165085388994303,1764.7058823529412,721.0626185958255,6323.0,17.854671280276825,1791564.0,2.833408192313775,10.326181656708266,322.14512069615546,1278.1483727511622,,6268.1,5130.0,9.17,,79016913.0,2265.54,4540.95,,2107.0,15.75,61.17,,3.5,250.0,49057.0,assessed,,,,,,0.3409908395235329,1199615.0,,,828.0,688.0,342.0,639.0,310.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2019,Guangxi,广西,binding,43.1,6.5,45.5,4.5,,,0.0,0.0,0.0,0.0,21237.1,42778.0,4982.0,3389.7,7046.4,10801.0,8079.9,0.3317967142406449,0.5085910976545762,1681.0,2294.0,287.0,135.0,61.0,14.0,2385.0,1097.0,1907.0,1112514.0,1112514.0,593.0,14.0,988.0,1827.0,61.0,1607545.0,1681.0,135.0,2294.0,4615.0,287.0,5.09,10.0,11.0,140.0,90.0,1907.0,2636.0,78287.0,3750.0,1097.0,4353.0,4123.0,2385.0,,,,5.0,,50.1,824.0,-2.4,未完成,完成,1.0,1907.0,,9.6,5850.96,1811.89,12.78,5246.6,2.4,9.2,14.0,0.52,1044742.0,4982.0,68221637.0,2639.0,0.5297069450020072,1846.27,,593.41,1006.51,8021.91,,1907.0,,4.0,15.5,86.0,5.09,1597.0,1683.0,1112514.0,-7.26,78287.0,74155.0,2636.0,628.0,1255.0,140.0,29.0,11.0,90.0,10.0,1115232.0,4938.0,,1263463.0,5777686.0,153.95,2385.0,3750.0,4353.0,9.51,40.8,,923.78,,6185.0,18020.98,9.6,3814.41,9.2,0.16,0.52,,11142591.0,5668252.0,46007718.0,4982.0,2639.0,2097.0,1811.89,5850.96,,1846.27,1006.51,593.41,8021.91,0.231,,,441.0,610.0,37.980769230769226,8.870967741935477,74.0,53.0,610.0,20.81967213114754,1678.0045351473923,868.8524590163935,6696.0,11.978860833822669,1775851.0,2.6521072281959377,8.199084971316184,315.29728635265644,1344.038538739462,,8774.2,7996.0,22.71,,50889783.0,2487.39,6386.8,621.0,2668.0,20.91,0.03,,8.5,543.9,201243.0,assessed,,,,,,0.3317967142406449,1112514.0,,,1120.0,1038.0,515.0,1019.0,234.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2020,Guangxi,广西,binding,43.3,8.9,39.5,7.0,,,0.0,0.0,0.0,0.0,22120.9,44237.0,5019.0,3645.9,7046.8,11428.1,7606.1,0.3185584673317993,0.5166200290223273,1759.0,2344.0,653.0,205.0,106.0,17.0,2744.0,1085.0,2029.0,1158358.0,1158358.0,615.0,17.0,1032.0,1939.0,106.0,1463649.0,1759.0,205.0,2344.0,5178.0,653.0,4.61,72.0,49.0,544.0,354.0,2029.0,2702.0,83416.0,3714.0,1085.0,4492.0,4129.0,2744.0,,,,7.7,,43.9,878.0,3.8,完成,完成,1.0,2029.0,,4.2,6179.47,1716.94,13.16,5172.8,12.9,4.2,18.8,0.52,1133332.0,5019.0,70414050.0,2720.0,0.541940625622634,1970.88,,614.47,1064.89,,,2029.0,,4.0,21.5,84.0,4.61,1729.0,1812.0,1158358.0,4.12,83416.0,77365.0,2702.0,649.0,1486.0,544.0,69.0,49.0,354.0,72.0,2068916.0,,100074.0,2050977.0,5367571.0,156.20000000000002,2744.0,3714.0,4492.0,8.78,41.3,,990.49,,7099.0,20709.93,4.2,3845.62,4.2,0.17,0.52,,11273404.0,5293591.0,45475174.0,5019.0,2720.0,2162.0,1716.94,6179.47,,1970.88,1064.89,614.47,,0.231,,,653.0,170.0,127.5261324041812,51.85185185185186,106.23,16.92,1971.0,,,,2029.0,6.397482957524914,1158358.0,,4.161585150514924,91.7232119850458,404.2637975692369,,7906.0,,20.64,,94828320.0,2655.75,6014.17,4406.0,3070.0,13.09,7.37,,-2.6,303.1,98020.0,assessed,1.0,1.0,3.799999999999997,1.9000000000000004,39.5,0.3185584673317993,1158358.0,69.0,1521257.0,1242.0,1460.0,566.0,1169.0,411.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,1116.0,422.0,911.0
2021,Guangxi,广西,binding,43.1,11.4,43.0,10.0,,,0.0,0.0,0.0,0.0,25209.1,50137.0,5037.0,4051.3,8513.9,12643.9,8168.3,0.3377312161084688,0.501560944262191,1768.0,2481.0,755.0,312.0,161.0,29.0,2324.0,1169.0,2238.0,909611.0,909611.0,517.36,28.08,1194.62,2082.0,160.62,1443319.0,1768.0,312.0,2481.0,5533.0,755.0,,,136.0,351.0,,2238.0,2712.0,85115.0,3061.0,1169.0,4689.0,3864.0,2324.0,100.0,100.0,,11.0,,47.7,964.0,0.1,完成,完成,1.0,2238.0,,7.6,5806.54,1800.15,16.06,6439.8,15.6,37.4,1.6,0.52,1370239.0,5037.0,91690000.0,2774.0,0.5507246376811594,2081.93,,,,,,2238.0,,4.0,,,,,1973.0,909611.0,-21.47,85115.0,,,,,,,,,,,,,,,152.45000000000002,,,,7.43,40.2,,1346.66,,8065.0,23622.06,7.6,3733.93,37.4,0.19,0.52,,15950180.0,7553140.0,69831859.0,5037.0,2774.0,2530.0,1800.15,5806.54,,2081.93,,,,0.231,3.5,3.0,755.0,267.0,15.62021439509953,52.19512195121951,160.62,28.08,2082.0,9.063400576368876,2127.417218543046,1051.685393258427,2238.0,10.300640709709219,909611.0,4.064392314566578,13.960553142051156,88.77746528039478,444.3120905300775,,980.2,,4.08,,490000.0,328.76,1854.52,104.0,362.0,8.62,62.0,,-18.5,412.8,11826.0,assessed,1.0,1.0,0.1000000000000014,1.4000000000000004,43.0,0.3377312161084688,909611.0,139.0,3178747.0,455.0,561.0,332.0,495.0,270.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,1005.0,408.0,941.0
2022,Guangxi,广西,binding,48.4,13.1,44.0,11.3,4.399999999999999,1.799999999999999,1.0,1.0,0.0,0.0,26186.1,51936.0,5047.0,4270.4,8819.3,13096.3,8042.0,0.3367931841702277,0.5001241116470189,1832.0,2757.0,946.0,520.0,198.85,42.9,2367.0,1066.0,2217.0,1296603.0,1296603.0,605.78,42.9,1090.79,2116.0,198.85,1105726.0,1822.0,520.0,2757.0,6262.0,946.0,,,271.0,714.0,,2217.0,2741.0,84373.0,3589.0,1066.0,3928.0,3573.0,2367.0,100.0,100.0,11.25,,47.92,,1073.0,4.4,完成,完成,1.0,2217.0,,0.1,5893.32,1687.72,17.24,6727.8,10.2,26.2,48.2,0.53,1505736.0,5047.0,95970000.0,2809.0,0.5565682583713097,2115.91,,,,,,2217.0,,4.0,,,,,1920.0,1296603.0,42.54,84373.0,,,,,,,,,,,,,,,153.65,,,,6.16,42.2,,893.56,,8959.0,26912.97,0.1,2206.27,26.2,0.21,0.53,,17049300.0,8807030.0,66340000.0,5047.0,2809.0,2473.0,1687.72,5893.32,,,,,,0.231,1.0,1.3000000000000007,946.0,458.0,25.29801324503311,66.66666666666667,198.85,42.9,2116.0,11.42485822306238,2102.0084566596192,936.6812227074236,2217.0,-0.9383378016085797,1296603.0,5.848457374830853,3.8755846103192937,84.66323736638904,439.27085397265705,,755.9,,0.36,,30020000.0,832.43,2097.37,531.0,631.0,4.17,,,49.8,445.5,7599.0,assessed,1.0,1.0,4.399999999999999,1.799999999999999,44.0,0.3367931841702277,1296603.0,139.0,3247465.0,368.0,832.0,399.0,752.0,103.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,1772.0,728.0,1546.0
2023,Guangxi,广西,binding,38.8,16.1,,12.5,,3.6000000000000014,,1.0,0.0,0.0,27202.4,54005.0,5027.0,4468.2,8924.1,13810.1,8021.8,0.3280629650324971,0.5076794694585772,1898.0,2823.0,1277.0,1133.0,245.16,82.68,2339.0,1173.0,2448.0,977077.0,977077.0,,,,,,1071673.0,1898.0,1133.0,2823.0,7466.0,1277.0,,,74.0,1240.0,,2448.0,2794.0,88339.0,2251.0,1173.0,4654.0,3463.0,2339.0,100.0,100.0,,,,,,0.0,完成,完成,1.0,2449.0,,-15.5,6101.37,1783.8,18.36,6918.3,-16.4,-9.6,21.4,0.57,1551896.0,5027.0,98170000.0,2854.0,0.5677342351302964,2382.92,,400.46,1408.15,,,2449.0,,4.0,,,,,2037.0,977077.0,-24.64,88339.0,,,,,,,,,,,,,,,149.95000000000002,,,,7.69,42.4,60.2,,,,,-15.5,1336.75,-9.6,0.21,0.57,,12491540.0,6735470.0,71580000.0,5027.0,2854.0,2558.0,1783.8,6101.37,,2382.92,1408.15,400.46,,0.231,1.1000000000000014,1.1999999999999993,1277.0,836.0,34.98942917547569,117.88461538461536,245.16,82.68,2383.0,13.757448594208984,1919.8120595144871,988.9952153110048,2448.0,10.419485791610295,977077.0,3.991327614379085,3.8810666727767895,89.99205952415963,486.9703600556993,,18548.3,,5.69,,280760000.0,3592.04,5859.39,,2972.0,11.56,,,16.0,401.6,130992.0,assessed,1.0,1.0,-6.300000000000004,3.6000000000000014,45.1,0.3280629650324971,977077.0,203.0,5647724.0,1069.0,1493.0,709.0,1121.0,615.0,,,,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,3359.0,976.0,2197.0
2024,Guangxi,广西,binding,52.4,21.4,39.2,16.5,13.199999999999996,4.899999999999999,1.0,1.0,1.7999999999999972,1.4000000000000057,28649.4,57071.0,5013.0,4751.5,9301.0,14596.9,8151.7,0.3246490327895174,0.5095010715756699,1906.0,3032.0,1811.0,2129.0,323.96,166.03,2186.0,1102.0,2563.0,1808793.0,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,98.6,14.2,,46.1,,,13.2,完成,完成,1.0,2565.0,,-3.2,6485.35,1837.32,,,,,,,,5013.0,106290000.0,,,2602.85,,614.85,1198.63,,,2565.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,1163.02,,,,,8484980.0,4741570.0,66810000.0,5013.0,,,1837.32,6485.35,,2602.85,1198.63,614.85,,0.231,-5.899999999999999,4.0,1811.0,1203.0,41.8167580266249,87.90820829655782,323.96,166.03,2603.0,18.82404917402997,1788.8459414688018,1380.1330008312552,2563.0,4.697712418300659,1808793.0,7.0573273507608265,5.319383583801418,89.4608613094864,511.27069618990623,,,,,,29150000.0,3150.25,6928.04,,,,309.99,,,,,assessed,1.0,1.0,13.199999999999996,4.899999999999999,39.2,0.3246490327895174,1808793.0,205.0,8750276.0,597.0,1789.0,925.0,1242.0,727.0,,,39.2,,,main,,,,,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,5036.0,1810.0,3342.0
2025,Guangxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,80.0,40.3,50.8,50.8,out_of_sample_extension,50.8,50.8,23.1,23.1,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2026,Guangxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,80.0,51.8,51.8,51.8,out_of_sample_extension,,51.8,,24.8,24.47593338306551,1.3274469983934147,116.81479067793572,0.9560637423906784,4.0,,,
2015,Guizhou,,pre_rps,38.3,2.0,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,14797.6,23720.0,114.43,433487.0,73780562.0,3016.05,6799.35,817.0,4561.0,25.06,4.19,198.0,,235.6,330143.0,,,,,,,,,,,,,,,,,,,,,main,,,,,72.48051727554073,1.3361839853379676,353.31703710143165,1.1265778569744456,5.5,,,
2016,Guizhou,,pre_rps,41.2,4.6,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,3367.3,14034.0,21.86,138335.0,16539178.0,1148.41,4227.34,581.0,2116.0,16.45,38.04,82.06,,926.6,173809.0,,,,,,,,7132864.0,150.0,241812.0,1591.0,382.0,145.0,352.0,611.0,,,,,,main,,,,,72.48051727554073,1.3361839853379676,353.31703710143165,1.1265778569744456,5.5,,,
2017,Guizhou,贵州,pre-rps,35.6,4.3,,,,,,,,,13605.4,35988.0,3803.0,2032.3,4970.9,6602.3,6449.4,0.3653622826230761,0.4852705543387184,2119.0,3160.0,363.0,135.0,63.0,6.0,1818.0,793.0,1385.0,6268653.0,6268653.0,733.0,6.0,1210.0,2012.0,63.0,894993.0,2119.0,135.0,3160.0,5778.0,363.0,5.5,19.0,,80.0,31.0,1385.0,1727.0,50316.0,3287.0,793.0,3899.0,3511.0,1818.0,,,,,,,493.0,,,,,1384.89,536.92,16.3,4612.52,1613.84,19.44,3821.4,,,,0.33,648576.0,3803.0,8162313.0,1816.0,0.4775177491454115,1899.1,107.0,699.91,1134.42,13409.76,301.43,1384.89,536.92,5.5,,86.0,5.5,1475.0,1561.0,6268653.0,-12.12,50316.0,50161.0,1727.0,347.0,359.0,80.0,31.0,,31.0,19.0,648820.0,61103.0,332997.0,569132.0,1594418.0,162.6,1818.0,3287.0,3899.0,35.89,37.0,43.8,903.43,10647.55,5311.0,15228.11,16.3,2201.0,,0.13,0.33,,2580482.0,1360165.0,2620129.0,3803.0,1816.0,2302.0,1613.84,4612.52,-7.0,1899.1,1134.42,699.91,13409.76,0.196,,,210.0,135.0,,,35.0,16.0,135.0,37.77777777777778,1666.6666666666667,1185.1851851851852,2205.0,,14291713.0,64.81502494331066,,162.06800241080748,579.8054167762293,444.0,3266.1,20370.0,33.69,,20568530.0,1466.52,4637.24,313.0,1287.0,18.53,307.04,373.0,,2280.8,134775.0,assessed,,,,,,0.3653622826230761,6268653.0,150.0,682176.0,1628.0,421.0,119.0,363.0,459.0,,,,,,main,,,,,72.48051727554073,1.3361839853379676,353.31703710143165,1.1265778569744456,5.5,,,
2018,Guizhou,贵州,binding,36.2,4.5,33.5,4.5,,,0.0,0.0,1.1,0.0,15353.2,40271.0,3822.0,2156.0,5506.2,7691.0,7105.0,0.3586353333507021,0.5009379152228851,2212.0,3263.0,386.0,178.0,68.0,16.0,1821.0,932.0,1482.0,6349901.0,6349901.0,770.0,16.0,1263.0,2117.0,68.0,1404183.0,2212.0,178.0,3263.0,6039.0,386.0,6.36,11.0,,26.0,15.0,1482.0,1846.0,55580.0,3268.0,932.0,3938.0,3481.0,1821.0,,,,5.0,,36.9,537.22,2.7,完成,完成,1.0,1482.12,,15.8,5029.68,1726.85,19.69,4165.5,10.8,12.5,-1.9,0.36,762280.0,3822.0,7602857.0,1893.0,0.4952904238618524,2015.98,,711.24,1221.96,12008.04,,1482.12,,5.5,9.0,108.0,6.36,1585.0,1693.0,6349901.0,1.3,55580.0,55466.0,1846.0,436.0,389.0,26.0,,,15.0,11.0,217548.0,6350.0,7937.0,214737.0,584915.0,163.0,1821.0,3268.0,3938.0,32.55,38.6,43.8,879.2,9390.8,5583.0,15068.0,15.8,2349.23,12.5,0.15,0.36,,2199399.0,1202740.0,2613269.0,3822.0,1893.0,2412.0,1726.85,5029.68,,2015.98,1221.96,711.24,12008.04,0.196,,,253.0,181.0,6.336088154269981,31.85185185185184,55.0,22.0,181.0,42.5414364640884,2173.913043478261,1215.4696132596684,2459.0,7.00361010830326,14058320.0,57.17088247254982,12.846369823746471,160.16205090795404,643.3804290947148,,12360.1,7496.0,19.17,,89921137.0,3911.01,9707.5,,4452.0,33.16,369.85,,1.7,311.4,163097.0,assessed,,,,,,0.3586353333507021,6349901.0,30.0,243206.0,1122.0,347.0,89.0,350.0,489.0,,,,,,main,,,,,72.48051727554073,1.3361839853379676,353.31703710143165,1.1265778569744456,5.5,,,
2019,Guizhou,贵州,binding,35.6,5.2,31.5,5.0,,,0.0,0.0,0.4,0.0,16769.3,43727.0,3848.0,2280.6,5971.5,8517.3,7449.4,0.356097153727347,0.5079102884437633,2223.0,3410.0,457.0,510.0,78.0,20.0,1861.0,1092.0,1541.0,7177452.0,7177452.0,769.0,20.0,1390.0,2257.0,78.0,1409891.0,2223.0,510.0,3410.0,6599.0,457.0,4.69,45.0,105.0,234.0,78.0,1541.0,1936.0,57959.0,3406.0,1092.0,4237.0,3689.0,1861.0,,,,5.5,,34.7,549.0,4.1,完成,完成,1.0,1541.0,,0.9,5948.74,1767.47,20.47,4459.0,-15.5,16.1,46.4,0.38,910206.0,3848.0,6568169.0,1981.0,0.5148128898128899,2206.55,,769.36,1339.53,12204.17,,1541.0,,5.5,10.0,85.0,4.69,1733.0,1819.0,7177452.0,13.03,57959.0,56449.0,1936.0,479.0,426.0,234.0,5.0,105.0,78.0,45.0,390145.0,11963.0,44557.0,1589084.0,1330099.0,161.65,1861.0,3406.0,4237.0,23.37,39.4,,976.3,,4686.0,16346.93,0.9,2990.81,16.1,0.14,0.38,,691891.0,463502.0,1719762.0,3848.0,1981.0,2222.0,1767.47,5948.74,,2206.55,1339.53,769.36,12204.17,0.196,,,325.0,188.0,18.393782383419687,186.51685393258427,71.0,28.0,188.0,52.659574468085104,2184.6153846153848,1489.3617021276596,2636.0,3.9811066126855588,13831273.0,52.470686646434,9.223484355053005,157.1920115926127,685.031185031185,,22755.1,43133.0,28.15,,296995532.0,6526.71,10739.76,8892.0,6252.0,28.03,5.1,,-10.8,224.0,954348.0,assessed,,,,,,0.356097153727347,7177452.0,30.0,214223.0,1207.0,385.0,148.0,383.0,600.0,,,,,,main,,,,,72.48051727554073,1.3361839853379676,353.31703710143165,1.1265778569744456,5.5,,,
