eq,spec,outcome,weakabs,form,coef,beta,se_cluster,p_cluster,p_wildboot,n_obs,n_prov
T3b,util_static|wind_util_hours,wind_util_hours,,,dweight,12.198097862252116,13.212858082369966,0.35590349043527403,0.351,174,29
T3a,util_triple|solar_util_hours|weak_export|continuous,solar_util_hours,weak_export,continuous,beta1_main,-5.62373373879144,10.662921975163574,0.5979087665234767,0.545,203,29
T3a,util_triple|solar_util_hours|weak_export|continuous,solar_util_hours,weak_export,continuous,beta2_triple,7.631197553461597,4.108070104174734,0.06322422897924193,0.051,203,29
T3a,util_triple|solar_util_hours|heat_rigidity|continuous,solar_util_hours,heat_rigidity,continuous,beta1_main,-5.62373373879144,10.662921975163574,0.5979087665234767,0.546,203,29
T3a,util_triple|solar_util_hours|heat_rigidity|continuous,solar_util_hours,heat_rigidity,continuous,beta2_triple,-0.7361117653673905,4.467250429254103,0.869117456700742,0.869,203,29
T3a,util_triple|solar_util_hours|resource_vol|continuous,solar_util_hours,resource_vol,continuous,beta1_main,-5.62373373879144,10.662921975163574,0.5979087665234767,0.571,203,29
T3a,util_triple|solar_util_hours|resource_vol|continuous,solar_util_hours,resource_vol,continuous,beta2_triple,10.374219446849034,4.845345145136892,0.032268454810655524,0.086,203,29
T3a,util_triple|solar_util_hours|pipeline_pressure|continuous,solar_util_hours,pipeline_pressure,continuous,beta1_main,-5.62373373879144,10.662921975163574,0.5979087665234767,0.561,203,29
T3a,util_triple|solar_util_hours|pipeline_pressure|continuous,solar_util_hours,pipeline_pressure,continuous,beta2_triple,2.04447966663003,3.572763463175509,0.5671591070717545,0.594,203,29
T3b,util_static|solar_util_hours,solar_util_hours,,,dweight,-1.23330712320588,7.442586656379,0.8683855896317854,0.843,174,29
T3c,solar_excl_risers|baseline,solar_curtailment_pct,,,beta1_main,0.137664948057276,0.1712154200974849,0.42137083292105737,0.382,175,25
T3c,solar_excl_risers|triple_heat_rigidity,solar_curtailment_pct,heat_rigidity,continuous,beta2_triple,0.04745947634482239,0.05040970514898629,0.34646150313061486,0.407,175,25
